#############################################;;;;;;;;;;;;;;x
slave_acceptance_VST_title;Integrating former slaves;;;;;;;;;;;;;x
slave_acceptance_VST_desc;The slaves in our nation have been granted freedom, and therefore, should be given full citizenship rights!;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
slave_acceptance_USR_title;Integrating former slaves;;;;;;;;;;;;;x
slave_acceptance_USR_desc;The slaves in our nation have been granted freedom, and therefore, should be given full citizenship rights!;;;;;;;;;;;;;x
will_receive_title;Request a grant.;;;;;;;;;;;;;x
will_receive_desc;Request grants from other players.;;;;;;;;;;;;;x
will_give_title;Receive grant requests.;;;;;;;;;;;;;x
will_give_desc;Receive grant requests from other players.;;;;;;;;;;;;;x
will_not_give_title;Stop receiving grant requests from other players.;;;;;;;;;;;;;x
will_not_give_title;Stop receiving grant requests from other players.;;;;;;;;;;;;;x
